talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,ICANS,0%,,n=20,treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,NINT incidence,35%,,n=20,treated patients,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::tanyi::2,Dr. Janos Tanyi,University of Pennsylvania,cellular-therapies-and-complex-immunotherapies,mesothelioma; ovarian cancer; cholangiocarcinoma,phase_1,CRS grade ≥3,0%,,n=9,dose levels 1‑3,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::tanyi::2,Dr. Janos Tanyi,University of Pennsylvania,cellular-therapies-and-complex-immunotherapies,mesothelioma; ovarian cancer; cholangiocarcinoma,phase_1,ICANS,0%,,n=9,dose levels 1‑3,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::tanyi::2,Dr. Janos Tanyi,University of Pennsylvania,cellular-therapies-and-complex-immunotherapies,mesothelioma; ovarian cancer; cholangiocarcinoma,phase_1,Objective response rate,11%,,n=9,dose level 3 (partial response in mesothelioma),,exploratory
cellular-therapies-and-complex-immunotherapies::tanyi::2,Dr. Janos Tanyi,University of Pennsylvania,cellular-therapies-and-complex-immunotherapies,mesothelioma; ovarian cancer; cholangiocarcinoma,phase_1,Disease stabilization rate,55%,,n=9,all dose levels,,exploratory
cellular-therapies-and-complex-immunotherapies::melero::3,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",cellular-therapies-and-complex-immunotherapies,colorectal cancer,phase_1b,ORR,13%,,n=52,all dose cohorts,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::melero::3,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",cellular-therapies-and-complex-immunotherapies,colorectal cancer,phase_1b,ORR (high dose cohort),20%,,n=??,patients receiving highest FAP4-1BB dose,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::melero::3,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",cellular-therapies-and-complex-immunotherapies,colorectal cancer,phase_1b,Disease control rate,50%,,n=52,all patients,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::melero::3,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",cellular-therapies-and-complex-immunotherapies,colorectal cancer,phase_1b,CRS grade ≥3,2%,,n=52,all patients,,secondary_endpoint
cellular-therapies-and-complex-immunotherapies::melero::3,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",cellular-therapies-and-complex-immunotherapies,colorectal cancer,phase_1b,Grade 5 adverse events,4% (2 events),,n=52,all patients,,safety
cellular-therapies-and-complex-immunotherapies::spiliopoulou::4,Dr. Pavlina Spiliopoulou,University of Glasgow,cellular-therapies-and-complex-immunotherapies,melanoma,phase_1_2,ORR,83%,,n=12,all treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::spiliopoulou::4,Dr. Pavlina Spiliopoulou,University of Glasgow,cellular-therapies-and-complex-immunotherapies,melanoma,phase_1_2,Disease control rate,92%,,n=12,all treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::spiliopoulou::4,Dr. Pavlina Spiliopoulou,University of Glasgow,cellular-therapies-and-complex-immunotherapies,melanoma,phase_1_2,Grade ≥3 pembrolizumab‑related AEs,33%,,n=12,all patients,,safety
cellular-therapies-and-complex-immunotherapies::spiliopoulou::4,Dr. Pavlina Spiliopoulou,University of Glasgow,cellular-therapies-and-complex-immunotherapies,melanoma,phase_1_2,Vaccine‑related Grade ≥3 AEs,0%,,n=12,all patients,,safety
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::gibson::2,William Gibson,Dana‑Farber Cancer Institute,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,pancreatic ductal adenocarcinoma; non‑small cell lung cancer,phase_1_2,ORR,35%,,n=83,KRAS G12C PDAC second‑line,,interim
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::gibson::2,William Gibson,Dana‑Farber Cancer Institute,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,pancreatic ductal adenocarcinoma; non‑small cell lung cancer,phase_1_2,ORR,50%,,n≈40,KRAS G12C PDAC phase 1/2,,interim
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::gibson::2,William Gibson,Dana‑Farber Cancer Institute,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,pancreatic ductal adenocarcinoma; non‑small cell lung cancer,phase_1_2,HR for OS,0.40,,,KRAS G12C PDAC registrational trial,investigator’s choice chemotherapy,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::shapiro::1,Justin Shapiro,Circle Pharma,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,small cell lung cancer; triple-negative breast cancer; mantle cell lymphoma; ER-positive breast cancer,preclinical,tumor regression,observed at 100 mg/kg QD IP in CDX SCLC model,,n=unspecified,small cell lung cancer CDX mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::shapiro::1,Justin Shapiro,Circle Pharma,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,small cell lung cancer; triple-negative breast cancer; mantle cell lymphoma; ER-positive breast cancer,preclinical,tumor regression,robust regressions with oral dosing of compound six (30–100 mg/kg PO),,n=unspecified,small cell lung cancer CDX mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::shapiro::1,Justin Shapiro,Circle Pharma,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,small cell lung cancer; triple-negative breast cancer; mantle cell lymphoma; ER-positive breast cancer,preclinical,body weight change,no body weight loss in tolerated dosing,,n=unspecified,treated mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::rob::2,Rob,Institute of Cancer Research (ICR),chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,breast cancer; colorectal cancer,preclinical,tumor growth inhibition,significant efficacy at 30 mg/kg and 50 mg/kg daily; two complete regressions at 30 mg/kg,,n=unspecified,HT29 CDX mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::rob::2,Rob,Institute of Cancer Research (ICR),chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,breast cancer; colorectal cancer,preclinical,body weight change,greater than 10% loss at highest dose indicating narrow therapeutic window,,n=unspecified,treated mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::rob::2,Rob,Institute of Cancer Research (ICR),chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,breast cancer; colorectal cancer,preclinical,splicing modulation,moderate MCL1 splicing change (max at 6 h) and strong HSF1 splicing change (up to 24 h),,n=unspecified,SUM159 xenograft mice,,exploratory
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::amy::3,Amy,Delphia Therapeutics,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,melanoma; colorectal cancer; lung cancer; pan-cancer,preclinical,tumor regression,robust tumor shrinkage in BRAF‑mutant melanoma CDX at 60 mg/kg daily,,n=unspecified,BRAF‑mutant melanoma mice,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::amy::3,Amy,Delphia Therapeutics,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,melanoma; colorectal cancer; lung cancer; pan-cancer,preclinical,tumor stasis,dose‑responsive tumor stasis in HT29 CDX and APC‑mutant CRC PDX at 10 mg/kg IV daily,,n=unspecified,APC‑mutant CRC models,,interim
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::amy::3,Amy,Delphia Therapeutics,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,melanoma; colorectal cancer; lung cancer; pan-cancer,preclinical,pERK activation,selective increase in phospho‑ERK in tumor tissue with minimal activation in skin and liver,,n=unspecified,treated mice,,exploratory
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::amy::3,Amy,Delphia Therapeutics,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,melanoma; colorectal cancer; lung cancer; pan-cancer,preclinical,cross‑sensitization,MAPK activator resensitized dabrafenib‑resistant melanoma to dabrafenib in vitro,,n=unspecified,dabrafenib‑resistant melanoma cells,dabrafenib alone,exploratory
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,PSA50 response,70%,,n=?? (patients with ≥2 cycles at 50 mg),mCRPC patients (all AR statuses),,primary_endpoint_met
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,PSA90 response,40%,,n=??,mCRPC patients (all AR statuses),,primary_endpoint_met
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,Objective response (RECIST PR),100% (5/5 measurable disease patients),,n=5,mCRPC with measurable disease,,primary_endpoint_met
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,Tumor regressions in VCAP xenograft,8/8 mice with tumor regression,,n=8,AR‑amplified castrate‑resistant xenograft,enzalutamide (ineffective),preclinical
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,Tumor regressions in LNCaP‑95 xenograft,robust regressions (complete responses in majority),,n=??,AR‑independent prostate cancer model,enzalutamide (no activity),preclinical
chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d::kaiser‑burkher::2,Katherine Kaiser‑Burkher,"Johnson & Johnson, Oncology R&D",chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,prostate cancer; breast cancer,phase_1,Tumor regressions in MCF7 CDX (HLD0117),"dose‑dependent regressions, superior to fulvestrant",,n=??,ER‑positive breast cancer xenograft,fulvestrant,preclinical
christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i::flowers::1,Christopher R. Flowers,"MD Anderson Cancer Center, Division of Cancer Medicine",christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i,diffuse large B-cell lymphoma,phase_3,Progression‑free survival hazard ratio,HR 0.73,,"n=~1,400 (POLARIX overall)",Frontline DLBCL patients with higher IPI,R‑CHOP,primary_endpoint_met
christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i::flowers::1,Christopher R. Flowers,"MD Anderson Cancer Center, Division of Cancer Medicine",christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i,diffuse large B-cell lymphoma,phase_3,Progression‑free survival hazard ratio,HR ~0.75,,n=~600 (tafasi‑lenalidomide trial),DLBCL patients enrolled with streamlined eligibility,placebo + R‑CHOP,interim
christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i::flowers::1,Christopher R. Flowers,"MD Anderson Cancer Center, Division of Cancer Medicine",christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i,diffuse large B-cell lymphoma,phase_3,Overall response rate,59%,,n=61 (SMART regimen cohort),DLBCL patients receiving R‑lenalidomide‑ibrutinib (no chemo),,interim
christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i::flowers::1,Christopher R. Flowers,"MD Anderson Cancer Center, Division of Cancer Medicine",christopher-r-flowers-applying-molecular-classifications-to-therapy-and-trials-i,diffuse large B-cell lymphoma,phase_3,Diagnosis‑to‑treatment interval median,30 days,,"n=7,700 (LEO cohort)",All enrolled DLBCL patients,,exploratory
chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson::armstrong::2,Dr. Scott Armstrong,"Dana-Farber Cancer Institute, Boston, MA",chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson,acute myeloid leukemia,approved,ORR,30‑40%,,n≈150 across trials,relapsed/refractory KMT2A‑rearranged AML,,primary_endpoint_met
chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson::armstrong::2,Dr. Scott Armstrong,"Dana-Farber Cancer Institute, Boston, MA",chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson,acute myeloid leukemia,approved,FDA approval,"2024 (revumenib), 2025 (ziftomenib)",,,,,approved
chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson::armstrong::2,Dr. Scott Armstrong,"Dana-Farber Cancer Institute, Boston, MA",chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson,acute myeloid leukemia,approved,IC50 shift,9‑15‑fold increase,,cell line assays,MLL‑fusion AML with G123V mutation,wild‑type,secondary_endpoint
